DateTime,AddedIPs,RemovedIPs
1545731789,0,4
1545733696,1,2
1545736590,2,5
1545738741,2,2
1545740656,1,2
1545742586,2,0
1545744489,2,1
1545747654,2,1
1545749538,3,1
1545751458,3,0
1545753451,1,5
1545755314,2,3
1545757246,1,0
1545759163,1,4
1545761086,3,0
1545762998,0,3
1545764919,3,2
1545766822,3,1
1545768985,1,4
1545770897,0,2
1545772850,2,1
1545774756,2,1
1545776675,1,0
1545778573,3,2
1545780489,1,2
1545782480,1,4
1545784357,4,4
1545786302,1,2
1545788179,3,2
1545790129,0,1
1545793958,0,2
1545795877,1,1
1545798023,1,0
1545799936,2,1
1545801879,2,4
1545803798,3,3
1545805945,1,1
1545807890,2,0
1545809782,0,4
1545811735,0,2
1545813643,2,1
1545815544,1,4
1545817459,1,0
1545819649,4,0
1545821538,3,1
1545823474,1,3
1545825370,0,1
1545827318,2,1
1545829290,1,2
1545831161,2,2
1545833055,0,2
1545835219,1,1
1545837132,3,3
1545839062,1,2
1545840999,0,1
1545843162,1,2
1545845051,3,1
1545847291,2,4
1545849145,0,1
1545851066,4,2
1545852980,0,5
1545854920,1,1
1545856822,3,0
1545858761,2,2
1545860664,1,1
1545862596,1,1
1545864508,3,1
1545866412,2,3
1545868347,1,0
1545870256,0,4
1545872200,3,1
1545874102,1,3
1545876274,0,1
1545880098,1,0
1545882260,2,1
1545884070,2,1
1545885881,0,2
1545887776,0,2
1545889940,2,4
1545891862,0,1
1545893792,1,2
1545897865,1,0
1545899802,0,2
1545901697,1,0
1545903616,0,2
1545905567,1,3
1545907709,2,3
1545909641,0,2
1545913486,0,2
1545915369,2,1
1545917547,2,2
1545919482,1,0
1545921384,0,1
1545923335,0,3
1545925234,1,1
1545927409,4,0
1545929306,1,1
1545931226,1,2
1545933156,0,2
1545935053,0,1
1545936996,4,6
1545938890,2,0
1545940900,0,1
1545942766,1,2
1545944931,2,3
1545948755,3,1
1545950689,1,3
1545952593,2,3
1545954527,0,1
1545958346,0,2
1545960305,1,1
1545962458,4,0
1545964369,3,0
1545966316,1,1
1545968485,0,2
1545970354,1,2
1545972278,2,0
1545974180,1,0
1545976362,1,1
1545978262,2,0
1545980477,1,1
1545984255,1,1
1545986170,7,1
1545988367,3,1
1545990255,1,0
1545992202,1,1
1545994336,0,2
1545996255,3,0
1545998196,2,0
1546000105,2,0
1546002302,0,3
1546004180,0,1
1546006093,0,1
1546011876,1,0
1546013781,1,4
1546015967,1,0
1546017863,1,2
1546021990,1,1
1546023881,0,5
1546026043,1,0
1546027945,0,1
1546029855,0,1
1546031786,1,2
1546033959,1,2
1546035851,1,1
1546037771,2,0
1546039967,0,3
1546044028,1,0
1546048413,1,5
1546050264,2,2
1546052176,0,2
1546056278,1,1
1546058436,0,1
1546060358,1,0
1546062268,1,3
1546064447,2,0
1546066363,3,2
1546068260,3,0
1546070495,1,1
1546072344,0,6
1546074270,1,4
1546078129,2,2
1546080042,1,0
1546081952,1,0
1546083883,2,4
1546085783,0,1
1546087946,1,2
1546089860,2,0
1546095664,2,0
1546097562,1,1
1546101409,0,2
1546103541,1,1
1546105459,1,0
1546107395,1,1
1546109543,4,0
1546111463,3,0
1546113396,1,1
1546115294,3,0
1546118181,4,1
1546120096,6,1
1546122038,2,1
1546123935,0,4
1546125880,4,0
1546128082,8,0
1546129960,3,0
1546131881,1,1
1546133814,3,1
1546135733,1,0
1546137631,2,1
1546139536,1,0
1546141473,1,1
1546143660,3,0
1546145563,4,0
1546147481,1,2
1546150576,3,1
1546152504,0,4
1546154444,0,2
1546156350,1,2
1546158283,1,0
1546160272,0,2
1546162348,2,0
1546164261,2,1
1546166171,0,1
1546168094,0,2
1546170044,4,2
1546173856,1,1
1546175850,0,2
1546177944,2,0
1546181794,3,2
1546183710,2,1
1546185666,3,0
